otu_133371;1	0.0	*
otu_176490;1	98.5	AM746974.1.1781_U Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Climacosphenia|Climacosphenia+moniligera
otu_93048;3	96.2	EF999974 Bacteria|Chromatiaceae|Thiodictyon|bacillosum
otu_3991;12	100.0	AJ010407.1.1752_U Eukaryota|Archaeplastida|Chlorophyta|Pyramimonadales|Pyramimonadales_X|Pyramimonadales_XX|Pterosperma|Pterosperma+cristatum
otu_102337;1	96.9	GU824184.1.1199_U Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|49|Pfiesteriaceae|Uncultured
otu_275424;3	88.8	CP000159 Bacteria|Rhodothermaceae|Salinibacter|ruber
otu_92124;2	0.0	*
otu_18540;5	87.7	AJ459804 Bacteria|Acidithiobacillaceae|Acidithiobacillus|albertensis
otu_19;351	100.0	JQ782079.1.1802_U Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Thalassiosira|Thalassiosira+sp.
otu_25405;6	90.0	EF620528.1.1695_U Eukaryota|Stramenopiles|Stramenopiles_X|Bicoecea|Anoecales|Caecitellaceae|Caecitellus|Caecitellus+sp.
otu_11754;3	93.1	GU823693.1.1209_U Eukaryota|Stramenopiles|Stramenopiles_X|MAST|MAST-3-12|MAST-3|Solenicola|Solenicola+sp.
otu_35552;2	0.0	*
otu_39662;1	97.7	FJ477082 Eukaryota|Alveolata|Dinophyta|Dinophyceae|Dinophysiales|03|Dinophysiaceae|Phalacroma_03|rapa
otu_39689;13	96.8	GU125753.1.1769_U Eukaryota|Opisthokonta|Metazoa|Entoprocta|Entoprocta_X|Entoprocta_XX|Loxosomella|Loxosomella+stomatophora
otu_8115;3	82.9	AY664883.1.1754_U Eukaryota|Alveolata|Dinophyta|Dinophyceae|Uncultured|74|Uncultured-X|Uncultured-XX|dinoflagellate
otu_640268;2	0.0	*
otu_82592;1	88.2	AJ318013.1.879_U Eukaryota|Rhizaria|Foraminifera|monothalamids|monothalamids_X|monothalamids_XX|Allogromiina|Allogromiina+sp.
otu_427;2	91.4	FJ000256.1.1608_U Eukaryota|Excavata|Discoba|Euglenozoa|Diplonemea|Diplonemea_X|Diplonemea_XX|Diplonemea_XX+sp.
otu_9663;5	90.7	X62912 Bacteria|Planctomycetaceae|Blastopirellula|marina
otu_180318;7	98.5	AB569156.1.1798_U Eukaryota|Opisthokonta|Metazoa|Mollusca|Bivalvia|Mytiloida|Adula|Adula+falcatoides
otu_1190;84	96.9	GU820545.1.1203_U Eukaryota|Alveolata|Dinophyta|Dinophyceae|Uncultured|180|Uncultured-X|Uncultured-XX|dinoflagellate
otu_23658;1	97.1	AF119079.1.1767_U Eukaryota|Opisthokonta|Metazoa|Brachiopoda|Brachiopoda_X|Brachiopoda_XX|Phoronis|Phoronis+australis
otu_1607;16	81.7	JF791001.1.1777_U Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-I|MALV-I-Clade-3|MALV-I-Clade-3_X|MALV-I-Clade-3_X+sp.
otu_662;8	98.4	EF527031.1.1379_U Eukaryota|Hacrobia|Cryptophyta|Cryptophyceae|Cryptophyceae_X|Cryptomonadales|Cryptomonadales_X|Cryptomonadales_X+sp.
otu_57589;1	92.6	FM244868.1.1766_U Eukaryota|Opisthokonta|Metazoa|Urochordata|Urochordata_X|Appendicularia|Megalocercus|Megalocercus+huxleyi
otu_93645;27	96.3	AY734440.1.1786_U Eukaryota|Opisthokonta|Metazoa|Porifera|Porifera_X|Demospongiae|Spheciospongia|Spheciospongia+vesparium
otu_88419;1	80.2	AJ459804 Bacteria|Acidithiobacillaceae|Acidithiobacillus|albertensis
otu_204400;4	89.6	AF304195 Bacteria|Methylococcaceae|Methylobacter|luteus
otu_35929;1	88.7	AAEW02000008 Bacteria|Desulfuromonadaceae|Desulfuromonas|acetoxidans
otu_3363;2	87.7	AY934744.1.1031_U Eukaryota|Rhizaria|Foraminifera|Rotaliida|Turrilinacea|Stainforthiidae|Stainforthia|Stainforthia+fusiformis
otu_263067;1	0.0	*
otu_9277;1	94.6	EU780649 Eukaryota|Alveolata|Dinophyta|Dinophyceae|Dinophysiales|03|Dinophysiaceae|Ornithocercus_01|magnificus
otu_132187;10	96.2	FR875095.1.1177_U Eukaryota|Rhizaria|Foraminifera|Rotaliida|Rotaliida_X|Rotaliida_XX|Foraminifera|Foraminifera+sp.
otu_49350;1	99.1	AJ000214 Bacteria|Shewanellaceae|Shewanella|baltica
otu_41815;2	89.9	AB564304 Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gymnodiniales|49|Ptychodiscaceae|Herdmania|litoralis
otu_97202;2	95.3	FJ973361.1.1490_U Eukaryota|Hacrobia|Cryptophyta|Cryptophyceae|Cryptophyceae_X|Cryptomonadales|Rhodomonas|Rhodomonas+sp.
otu_3776;13	98.4	AF022192 Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|22|Ceratiaceae|Neoceratium_03|tenue
otu_2865;2	99.2	AY665020.1.1748_U Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-I|MALV-I-Clade-1|MALV-I-Clade-1_X|MALV-I-Clade-1_X+sp.
otu_487161;1	89.4	FJ628363.1.1683_U Eukaryota|Excavata|Metamonada|Fornicata|Fornicata_X|Carpediomonas-like|Hicanonectes|Hicanonectes+teleskopos
otu_83409;1	92.3	EF219017.1.1703_U Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|*|*
otu_2425;6	98.4	JF791029 Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|41|Peridiniaceae|Pentapharsodinium_05|tyrrhenicum
otu_988;11	100.0	AY129034.1.1797_U Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-6|MALV-II-Clade-6_X|MALV-II-Clade-6_X+sp.
otu_32217;2	0.0	*
otu_787325;2	0.0	*
otu_41835;1	92.3	EF660760 Bacteria|Hyphomonadaceae|Henriciella|marina
